#     lambda       flux     sys_error   FWHM   quality 
# A(Angstroms) erg/s/cm2/A  erg/s/cm2/A   A  1=ok,0=bad
   4356.2241   1.7270e+02   6.9080e+00   10.00   1.0000e+00
   4366.2266   1.9340e+02   7.7360e+00   10.00   1.0000e+00
   4376.2295   1.8110e+02   7.2440e+00   10.00   1.0000e+00
   4386.2319   1.5710e+02   6.2840e+00   10.00   1.0000e+00
   4396.2349   1.8300e+02   7.3200e+00   10.00   1.0000e+00
   4406.2373   1.7170e+02   6.8680e+00   10.00   1.0000e+00
   4416.2397   1.9360e+02   7.7440e+00   10.00   1.0000e+00
   4426.2427   1.9850e+02   7.9400e+00   10.00   1.0000e+00
   4436.2451   1.9140e+02   7.6560e+00   10.00   1.0000e+00
   4446.2480   1.9780e+02   7.9120e+00   10.00   1.0000e+00
   4456.2505   1.8260e+02   7.3040e+00   10.00   1.0000e+00
   4466.2529   1.8960e+02   7.5840e+00   10.00   1.0000e+00
   4476.2559   2.0820e+02   8.3280e+00   10.00   1.0000e+00
   4486.2583   1.9780e+02   7.9120e+00   10.00   1.0000e+00
   4496.2612   2.0320e+02   8.1280e+00   10.00   1.0000e+00
   4506.2637   2.1490e+02   8.5960e+00   10.00   1.0000e+00
   4516.2661   2.1140e+02   8.4560e+00   10.00   1.0000e+00
   4526.2690   1.9460e+02   7.7840e+00   10.00   1.0000e+00
   4536.2715   1.9750e+02   7.9000e+00   10.00   1.0000e+00
   4546.2744   1.9840e+02   7.9360e+00   10.00   1.0000e+00
   4556.2769   2.0390e+02   8.1560e+00   10.00   1.0000e+00
   4566.2793   2.0820e+02   8.3280e+00   10.00   1.0000e+00
   4576.2822   2.1050e+02   8.4200e+00   10.00   1.0000e+00
   4586.2847   1.9760e+02   7.9040e+00   10.00   1.0000e+00
   4596.2876   2.0140e+02   8.0560e+00   10.00   1.0000e+00
   4606.2900   2.0450e+02   8.1800e+00   10.00   1.0000e+00
   4616.2930   2.0600e+02   8.2400e+00   10.00   1.0000e+00
   4626.2954   2.1090e+02   8.4360e+00   10.00   1.0000e+00
   4636.2979   2.0450e+02   8.1800e+00   10.00   1.0000e+00
   4646.3008   1.9810e+02   7.9240e+00   10.00   1.0000e+00
   4656.3032   2.0470e+02   8.1880e+00   10.00   1.0000e+00
   4666.3062   1.9260e+02   7.7040e+00   10.00   1.0000e+00
   4676.3086   2.0200e+02   8.0800e+00   10.00   1.0000e+00
   4686.3110   1.9990e+02   7.9960e+00   10.00   1.0000e+00
   4696.3140   1.9950e+02   7.9800e+00   10.00   1.0000e+00
   4706.3164   1.8820e+02   7.5280e+00   10.00   1.0000e+00
   4716.3193   2.0230e+02   8.0920e+00   10.00   1.0000e+00
   4726.3218   2.0460e+02   8.1840e+00   10.00   1.0000e+00
   4736.3247   1.9960e+02   7.9840e+00   10.00   1.0000e+00
